reamostragem,media_valor,pct_medio,pct_mediano,mq_valor_causa,pct_por_sub,mq_pct_p,mq_valor_ce,mq_pct_dg,mq_pct_dgu,ridge,bagging_dg,floresta
831,1626.70,975.99,976.70,982.58,976.58,994.27,1000.26,992.30,1118.31,1026.27,995.41,992.10
832,1562.40,1011.75,998.38,1052.93,1012.11,1000.32,1044.75,1021.51,1106.52,998.37,1018.52,971.56
833,1807.96,958.72,978.11,980.58,957.52,955.18,982.42,985.51,1129.98,1044.52,985.06,976.57
834,1716.44,955.77,970.02,951.52,958.16,958.19,942.70,956.10,1059.57,982.44,954.96,930.75
835,1680.57,1003.94,1009.87,1002.67,1004.50,1005.51,1005.95,1030.88,1078.38,1014.66,1029.72,1006.43
836,1792.42,977.07,982.35,975.99,979.76,970.81,966.84,958.32,962.24,944.26,957.87,944.76
837,1730.22,948.46,943.92,947.92,946.93,952.49,952.94,973.47,1101.22,974.16,973.41,965.88
838,1694.77,998.88,1011.96,998.54,1004.10,993.41,992.08,988.32,1018.21,980.78,989.79,1001.92
839,1588.86,1026.05,1024.17,1026.09,1068.61,1020.15,1018.57,1070.77,1131.10,1065.63,1069.27,1029.25
840,1812.70,1057.20,1072.96,1063.09,1057.42,1055.40,1056.11,1053.54,1232.13,1071.25,1050.49,1064.23
841,1792.97,910.22,924.38,915.64,914.25,907.33,913.84,925.91,1003.55,917.93,926.71,900.83
842,1664.41,979.68,979.65,979.60,984.73,989.92,994.12,991.55,1111.11,1029.10,991.10,1001.97
843,1667.55,966.14,970.20,966.54,975.87,972.66,974.16,1019.36,1157.41,1059.75,1021.60,1010.33
844,1827.97,1090.00,1141.10,1105.36,1107.61,1087.88,1098.76,1102.94,1116.01,1083.17,1104.31,1075.63
845,1721.12,952.12,952.12,961.20,964.73,946.45,955.50,984.83,1100.25,978.28,985.55,946.99
846,1746.83,990.38,1026.56,990.43,995.58,1004.41,994.96,1024.11,1108.05,1018.60,1026.19,1021.18
847,1472.20,950.14,980.37,962.11,950.69,941.93,961.38,959.11,1026.34,966.83,957.56,954.77
848,1697.61,1008.61,1010.54,1009.55,1009.91,1023.16,1029.16,1073.83,1127.13,1070.19,1075.26,1099.00
849,1640.32,998.49,1031.65,997.09,1005.16,992.54,989.64,1005.38,1156.06,1026.94,1006.22,995.08
850,1768.56,924.51,923.66,931.82,925.43,905.28,914.02,946.40,990.79,918.80,945.89,956.95
851,1731.72,989.73,987.16,998.60,996.06,981.57,992.66,993.13,1093.33,1001.24,994.08,977.71
852,1580.28,975.76,1029.86,970.23,975.92,983.77,982.78,1030.57,1076.67,1017.13,1030.17,1009.44
853,1739.85,920.77,919.63,924.06,921.25,930.95,941.22,968.12,1120.15,1000.44,963.05,936.67
854,1787.99,973.80,989.34,972.49,992.40,977.62,973.02,997.88,1037.82,983.04,997.09,982.65
855,1761.16,990.98,1002.35,1004.04,1045.09,977.42,994.53,1035.22,1121.57,1031.31,1026.53,1010.77
856,1716.34,970.50,985.61,970.27,970.43,966.31,962.97,978.07,1046.22,974.12,977.65,952.67
857,1806.93,963.88,961.23,966.01,966.76,971.55,973.58,986.84,1071.73,994.05,983.75,962.88
858,1624.49,986.23,981.66,1012.71,990.56,982.53,1004.15,1007.71,1076.72,962.14,1007.57,954.01
859,1678.64,1008.92,1015.65,1020.42,1010.61,1006.49,1017.79,1018.32,1189.90,1109.40,1021.21,1009.03
860,1925.45,1034.32,1099.40,1027.43,1062.11,1046.29,1039.16,1090.20,1197.33,1109.12,1094.11,1061.37
861,1674.64,970.13,965.39,971.17,977.57,963.34,964.67,971.70,1169.84,1080.11,969.85,940.33
862,1556.77,950.99,948.23,976.11,951.85,949.71,973.29,961.85,1027.49,960.18,959.65,964.88
863,1819.89,1033.75,1040.27,1034.88,1039.17,1021.67,1019.83,1034.79,1139.13,1034.44,1038.99,1038.99
